time_taken,start_code,code,condition,believe_in_effectiveness,comprehension,previous_study,test_question,test_question2,comments,cheat_detection,time_page_1,time_page_2
198,adbcd,4c029b,no_graph,7,12,no,common_cold,20,,,58480,97534
213,adc33,4c0565,no_graph,7,7,no,common_cold,20,,,60517,82036
127,adee1,4c1827,no_graph,7,13,no,common_cold,20,,,39106,56424
309,adacb,4bfb8d,no_graph,6,8,no,common_cold,20,,,36065,239798
251,ad8fd,4beeeb,graph,7,15,no,common_cold,20,ninguno,,36697,175740
113,ad64d,4bdc1b,graph,4,10,no,common_cold,20,,,26996,46082
212,adc71,4c0717,no_graph,8,16,no,common_cold,20,,,30349,140492
186,add47,4c0cf1,no_graph,6,14,no,common_cold,20,,,58339,91934
189,ad63f,4bdbb9,graph,8,15,no,common_cold,20,"No, it is correct and easy. Thank you.",,41180,108906
98,adddd,4c110b,no_graph,9,12,no,common_cold,20,,,25898,50849
161,adae5,4bfc43,no_graph,7,14,no,common_cold,20,I have no comments.,,35056,80021
85,add9d,4c0f4b,no_graph,7,12,no,common_cold,20,,,20949,43821
139,ad9e7,4bf551,no_graph,7,9,no,common_cold,20,,,22165,86792
312,ad6b3,4bdee5,graph,4,16,no,common_cold,20,,,118007,107190
164,adca7,4c0891,no_graph,6,16,no,common_cold,20,,,52296,73282
254,ad87b,4beb5d,graph,5,12,no,common_cold,20,,,92869,76846
625,ade8b,4c15cd,no_graph,7,14,no,common_cold,20,"I find it interesting to reduce by more than 60% the appearance of common cold, Of 20 people at least 14 did not get sick.",,119265,147985
254,ad753,4be345,graph,5,10,no,common_cold,20,,,122085,43750
537,adb99,4c012f,no_graph,8,4,no,common_cold,20,,,84338,233610
57,ad79d,4be54b,graph,8,16,no,common_cold,20,,,18813,26766
45,ad6c9,4bdf7f,graph,5,10,no,common_cold,20,,,21274,12653
105,adc1b,4c04bd,no_graph,6,10,no,common_cold,20,,,45550,40471
234,ad6cf,4bdfa9,graph,7,12,no,common_cold,20,,,96688,102760
163,addad,4c0fbb,no_graph,6,12,no,common_cold,20,I hope that drug will work effectively,,52550,30634
466,adde9,4c115f,no_graph,4,18,no,common_cold,20,,,19330,431435
