time_taken,start_code,code,condition,effectiveness,reduces_sickness,comprehension,why_answered_no,previous_study,age,gender,education,test_question,comments,cheat_detection
182,ab00d,4ad05b,graph,5,no,12,because more side effect of medication,no,26,female,college_or_more,common_cold,conducting more survey this type,
146,aafc9,4ace7f,graph,7,yes,13,,no,51,female,high-school,common_cold,,
233,ab7e1,4b0727,no_graph,7,yes,14,,no,25,male,college_or_more,common_cold,"I have always loved the statistical analyses, they could send more information to my e-mail address ender3691@gmail.com",
121,ab037,4ad181,graph,7,yes,8,,no,31,female,college_or_more,common_cold,,
262,ab611,4afa77,no_graph,6,yes,11,,no,24,male,college_or_more,common_cold,"If you provided any more details such as which company is releasing the Medicine, what all are the contents and more details than whats provided the participant can get a better idea of how theoretically effective the medicine is.  ",
185,ab67d,4afd6b,no_graph,7,yes,4,,no,39,male,high-school,common_cold,,
250,aaee1,4ac827,graph,7,yes,12,,no,43,male,some_college,common_cold,,
159,ab5ff,4af9f9,no_graph,8,yes,9,,no,26,female,some_college,common_cold,,
380,ab35f,4ae799,graph,6,yes,8,,no,51,male,college_or_more,common_cold,Want to see the people of the world in a good health ..,
102,ab48d,4aefdb,no_graph,5,yes,15,,no,28,male,some_college,common_cold,,
118,ab09d,4ad44b,graph,7,yes,10,,no,45,male,college_or_more,common_cold,"Objetivo, simples, direto. Espero que os resultados realmente sejam verdadeiros.",
396,ab87b,4b0b5d,no_graph,6,yes,4,,no,26,female,some_college,common_cold,No comments.,
273,ab319,4ae5af,graph,8,yes,0,,no,55,female,high-school,common_cold,,
89,ab1e1,4add27,graph,9,yes,5,,no,42,male,some_college,common_cold,,
319,ab011,4ad077,graph,5,no,8,Not all people react the same to the medication. It takes a lot of time to demonstrate the usefulness of the medication.,no,42,male,high-school,common_cold,,
92,ab6f1,4b0097,no_graph,6,yes,10,,no,30,male,college_or_more,common_cold,,
107,ab1f7,4addc1,graph,5,yes,15,,no,37,female,high-school,common_cold,,
55,ab2fb,4ae4dd,graph,7,yes,6,,no,41,female,college_or_more,common_cold,no,
262,ab1b1,4adbd7,graph,9,yes,12,,no,28,male,high-school,common_cold,"think maybe correct answer was 20, not mentioned when cure works",
146,ab4d5,4af1d3,no_graph,6,yes,12,,no,27,male,some_college,common_cold,,
387,ab109,4ad73f,graph,7,no,10,I do not belive that the medications can actually increase immunity. Drugs act on the symptoms.,no,51,female,high-school,common_cold,thank you :),
107,ab731,4b0257,no_graph,7,yes,17,,no,21,male,college_or_more,common_cold,,
63,ab457,4aee61,no_graph,8,yes,3,,no,24,male,college_or_more,common_cold,,
152,ab895,4b0c13,no_graph,7,yes,5,,no,26,male,college_or_more,common_cold,,
75,ab079,4ad34f,graph,7,yes,12,,no,21,male,high-school,common_cold,,
85,ab887,4b0bb1,no_graph,7,yes,11,,no,57,male,college_or_more,common_cold,,
76,ab821,4b08e7,no_graph,7,yes,5,,no,32,male,some_college,common_cold,thanks,
302,aaec7,4ac771,graph,7,yes,12,,no,25,female,college_or_more,common_cold,,
167,ab841,4b09c7,no_graph,6,yes,6,,no,34,female,college_or_more,common_cold,a beneficial study for common population,
60,ab50f,4af369,no_graph,9,yes,18,,no,31,male,college_or_more,common_cold,,
183,ab46d,4aeefb,no_graph,9,yes,3,,no,33,male,some_college,common_cold,if it is true then it can be very helpful for us.,
69,aaf8f,4acce9,graph,5,yes,10,,no,22,male,some_college,common_cold,,
340,aaf27,4aca11,graph,5,no,10,the drug busts the immune system. There is no way to know if this is the case nor if the user would get sick without it.,no,40,male,college_or_more,common_cold,,
103,ab4b5,4af0f3,no_graph,7,yes,9,,no,24,male,college_or_more,common_cold,,
138,ab091,4ad3f7,graph,7,yes,12,,no,23,female,college_or_more,common_cold,,
87,aaf77,4acc41,graph,6,yes,11,,no,24,male,college_or_more,common_cold,,
81,ab791,4b04f7,no_graph,6,yes,7,,no,38,male,college_or_more,common_cold,,
114,ab74b,4b030d,no_graph,6,yes,12,,no,29,female,high-school,common_cold,,
412,ab3d7,4aeae1,graph,1,no,11,i dont belive in miraculous drugs if they found it the studies where over by now,no,30,male,some_college,common_cold,whit this kind of drugs our childrens imune sistem will be obsolete the diseases will find a way to come back and much stronger.,
254,ab3c7,4aea71,graph,4,no,10,"I didn't compute it in the way that the follow up question did, which assumed that those 20 people would by default all get sick. I thought this lower sickness rate could simply be due to extraneous factors. And since the remaining percentage of people getting ill was still rather high, I chose NO here.",no,28,female,college_or_more,common_cold,,
216,ab52d,4af43b,no_graph,8,yes,4,,no,24,male,high-school,common_cold,I like it,
99,ab06b,4ad2ed,graph,7,yes,8,,no,30,female,college_or_more,common_cold,,
68,ab3d9,4aeaef,no_graph,5,yes,2,,no,31,male,college_or_more,common_cold,,
108,aaeaf,4ac6c9,graph,8,yes,12,,no,28,female,college_or_more,common_cold,,
219,ab3af,4ae9c9,graph,6,yes,4,,no,47,male,college_or_more,common_cold,,
213,ab6a1,4afe67,no_graph,6,yes,0,,unsure,32,male,some_college,common_cold,,
193,ab517,4af3a1,no_graph,7,yes,9,,no,33,female,some_college,common_cold,,
94,ab32b,4ae62d,graph,7,yes,10,,no,57,female,some_college,common_cold,Nope.,
83,ab55f,4af599,no_graph,9,no,16,It boost immune system still the illnes remains,no,27,male,high-school,common_cold,no,
149,ab421,4aece7,no_graph,7,yes,16,,no,52,male,college_or_more,common_cold,,
139,ab403,4aec15,no_graph,6,yes,12,,no,29,male,college_or_more,common_cold,,
224,ab7f3,4b07a5,no_graph,3,no,18,"I simply don't believe in such medication, never had any proof.",no,35,male,some_college,common_cold,,
70,ab773,4b0425,no_graph,7,yes,5,,no,63,female,college_or_more,common_cold,,
160,ab223,4adef5,graph,8,yes,13,,no,24,male,some_college,common_cold,,
214,ab7ab,4b05ad,no_graph,5,yes,11,,no,43,male,college_or_more,common_cold,Interesting study.,
170,ab5a7,4af791,no_graph,6,yes,10,,no,51,female,college_or_more,common_cold,,
181,ab373,4ae825,graph,4,no,10,The medication does not reduce the disease,no,28,male,high-school,common_cold,,
156,ab349,4ae6ff,graph,7,yes,3,,no,26,female,college_or_more,common_cold,thank you,
214,ab0d9,4ad5ef,graph,5,yes,8,,no,35,male,high-school,common_cold,,
225,ab84b,4b0a0d,no_graph,6,no,9,"The drug is implicitly stated as boosting the human immune system, not fight infections.",no,36,male,high-school,common_cold,No.,
346,aafe7,4acf51,graph,8,yes,4,,no,49,male,college_or_more,common_cold,More elements of audio and video.,
582,aae7b,4ac55d,graph,5,yes,12,,no,51,male,college_or_more,common_cold,,
243,ab5b9,4af80f,no_graph,7,yes,12,,no,43,male,some_college,common_cold,"people are not always willing to take drugs to prevent lighter illnesses,
at least people I know. But older people do. 
So, crucial opinions should be of people older than,let's say, 55",
181,ab6e3,4b0035,no_graph,5,yes,8,,no,35,male,high-school,common_cold,,
190,ab769,4b03df,no_graph,7,yes,10,,no,31,female,college_or_more,common_cold,,
289,ab749,4b02ff,no_graph,9,yes,18,,no,34,female,college_or_more,common_cold,,
212,aaedf,4ac819,graph,8,yes,4,,no,21,male,college_or_more,common_cold,"Survey with a very good end, congratulations",
191,ab40d,4aec5b,no_graph,7,yes,12,,no,61,female,some_college,common_cold,"Intelligent, requires thought and analysis.",
144,ab1eb,4add6d,graph,9,yes,8,,no,56,male,high-school,common_cold,,
130,ab857,4b0a61,no_graph,5,yes,10,,unsure,45,male,some_college,common_cold,no,
57,ab785,4b04a3,no_graph,9,yes,4,,no,23,male,some_college,common_cold,,
81,aaec3,4ac755,graph,7,yes,8,,no,54,female,college_or_more,common_cold,none,
57,ab781,4b0487,no_graph,7,yes,12,,no,38,male,college_or_more,common_cold,,
120,ab2f9,4ae4cf,graph,7,yes,10,,no,39,male,some_college,common_cold,,
191,ab3c1,4aea47,graph,8,yes,12,,no,21,female,high-school,common_cold,,
107,aae99,4ac62f,graph,7,yes,4,,no,43,male,college_or_more,common_cold,Pharmaceutical industry cant be trusted.,
221,aaf33,4aca65,graph,6,yes,10,,no,33,male,college_or_more,common_cold,,
86,aafab,4acdad,graph,5,yes,10,,unsure,38,female,some_college,common_cold,,
81,ab827,4b0911,no_graph,9,yes,12,,no,35,male,some_college,common_cold,NO,
155,ab499,4af02f,no_graph,8,yes,2,,no,39,male,college_or_more,common_cold,,
110,ab523,4af3f5,no_graph,6,no,20,Because you can't cure cold.,no,29,male,high-school,common_cold,,
171,ab85d,4b0a8b,no_graph,7,yes,6,,unsure,26,male,college_or_more,common_cold,,
206,ab6dd,4b000b,no_graph,9,yes,12,,no,25,male,college_or_more,common_cold,,
90,ab323,4ae5f5,graph,6,yes,8,,no,20,female,high-school,common_cold,,
110,ab2bd,4ae32b,graph,6,yes,7,,no,23,male,some_college,common_cold,,
202,ab7cd,4b069b,no_graph,7,yes,0,,no,24,male,neither,common_cold,,
154,ab3ad,4ae9bb,graph,8,yes,4,,no,53,female,some_college,common_cold,,
64,ab427,4aed11,no_graph,8,yes,2,,no,30,male,high-school,common_cold,нету,
63,ab1a5,4adb83,graph,9,yes,6,,no,31,female,college_or_more,common_cold,,
130,ab48b,4aefcd,no_graph,4,yes,15,,no,32,female,high-school,common_cold,no,
261,ab73d,4b02ab,no_graph,7,yes,6,,no,23,male,some_college,common_cold,,
239,ab053,4ad245,graph,7,yes,11,,no,27,male,college_or_more,common_cold,,
227,ab325,4ae603,graph,6,yes,13,,no,31,female,college_or_more,common_cold,I hope the medicine works and is enabled for everyone,
155,ab605,4afa23,no_graph,7,yes,7,,no,41,female,college_or_more,common_cold,,
365,ab7c7,4b0671,no_graph,8,yes,5,,no,34,female,college_or_more,common_cold,,
297,ab835,4b0973,no_graph,7,yes,12,,no,50,female,high-school,common_cold,,
294,ab4ab,4af0ad,no_graph,4,yes,10,,no,21,male,some_college,common_cold,,
93,aaf51,4acb37,graph,7,yes,0,,no,34,male,some_college,common_cold,,
223,aaf93,4acd05,graph,7,no,8,"Because it increases immunity, but does not cure disease",no,33,male,some_college,common_cold,,
